fatalities,injured,evacuated,estimated_total_cost,normalized_total_cost,federal_payments,provincial_payments,insurance_payments,start_day,start_week,start_month,start_year,start_weekend,start_season_canada,end_day,end_week,end_month,end_year,end_weekend,end_season_canada,disaster_type,disaster_subgroup,disaster_group,disaster_category,magnitude,utility_people_affected,city,province,country,canada,summary
7,0,15000,,,,,,4,17,4,1900,f,Spring,4,17,4,1900,f,Spring,Non-Residential,Fire,Technology,Incident,0,0,Ottawa,ON,Canada,t,"Ottawa ON and Hull QC, April 26, 1900.  A small chimney fire in Hull quickly spread to neighbouring buildings and then engulfed the Eddy lumberyard.  A strong wind carried the fire to the Ottawa side.  By the time the fire ended, 3000 buildings had been destroyed in the Ottawa-Hull region."
64,0,0,,,,,,2,1,1,1901,f,Winter,2,1,1,1901,f,Winter,Non-Residential,Explosion,Technology,Incident,0,0,Gr Forks,BC,Canada,t,"Grand Forks BC, 1901. An explosion in the Union Mine killed 64 people."
16,0,0,,,,,,2,1,1,1901,f,Winter,2,1,1,1901,f,Winter,Manufacturing / Industry,Infrastructure failure,Technology,Incident,0,0,Wellgton,BC,Canada,t,"Wellington BC, 1901. Sixteen people were entombed in the #2 slope of the Wellington Colliery, in the Kooteney region."
32,0,0,,,,,,3,1,1,1902,f,Winter,3,1,1,1902,f,Winter,Non-Residential,Explosion,Technology,Incident,0,0,Cranberry,BC,Canada,t,"Cranberry BC, 1902. An explosion in the Extension Colliery killed 32 people."
2,0,0,,,,,,6,9,3,1902,t,Spring,6,9,3,1902,t,Spring,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Sat John River Bas,NB,Canada,t,"Saint John River Basin NB, March 1902. An unusually early break-up and downstream movement of ice cover on the Saint John River resulted from heavy rains, warm temperatures, and raised water levels. A total of 15 ice jams resulted from the raised water levels, causing extensive damage, including washouts of bridges, roads and railways. The lumber industry was also affected, where damage to mills and loss of stock were reported."
125,0,0,,,,,,4,21,5,1902,f,Spring,4,21,5,1902,f,Spring,Non-Residential,Explosion,Technology,Incident,0,0,Fernie,BC,Canada,t,"Fernie BC, April 22, 1902.  An explosion in the #2 Mine Coal Creek killed 125 people."
16,0,0,,,,,,4,1,1,1903,f,Winter,4,1,1,1903,f,Winter,Non-Residential,Explosion,Technology,Incident,0,0,Gr Forks,BC,Canada,t,"Grand Forks BC, 1903. An explosion in the Union Mine killed 16 people."
70,23,0,,,,,,3,18,4,1903,f,Spring,3,18,4,1903,f,Spring,Landslide,Geological,Natural,Disaster,0,0,Frank,AB,Canada,t,"Frank AB, April 29, 1903. 70 dead; 60 million tonnes of limestone came crashing down Turtle Mountain on to the small mining town of Frank; the landslide buried part of the town, covering roads, railways and homes; the Old Man River and the CP Rail Tracks were buried under 30 metres of rock."
14,0,0,,,,,,5,53,1,1904,f,Winter,5,53,1,1904,f,Winter,Non-Residential,Explosion,Technology,Incident,0,0,Carbonado,BC,Canada,t,"Carbonado BC, 1904.  An explosion in the Carbonado Colliery killed 14 people."
0,0,0,22522000,1608714.3,,14434443,8087557,2,36,9,1992,f,Autumn,2,36,9,1992,f,Autumn,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,0,Edmonton,AB,Canada,t,"Edmonton AB, September 1, 1992."
0,0,0,74559612,5106822.7,,18858612,55701000,1,29,7,1995,f,Summer,1,29,7,1995,f,Summer,Storms and Severe Thunderstorms,Meteorological - Hydrological,Natural,Disaster,0,0,Calgary,AB,Canada,t,"Calgary AB, July 17, 1995."
0,0,0,,,,,,6,9,2,1903,t,Winter,6,9,2,1903,t,Winter,Landslide,Geological,Natural,Disaster,0,0,Upper Arrow Lake,BC,Canada,t,"Upper Arrow Lake BC, February 28, 1903.  A mass of rock estimated to be around 250, 000 m³ broke away from the bluff of a cliff, generating waves of up to 3 m when it hit the lake.  A number of boats and a wharf were damaged, creating havoc with shipping on Upper Arrow Lake ."
0,0,0,,,,,,2,16,4,1904,f,Spring,2,16,4,1904,f,Spring,Non-Residential,Fire,Technology,Incident,0,0,Toronto,ON,Canada,t,"Toronto ON, April 19, 1904. The Great Toronto Fire; on the evening of April 19, 1904 a fire started in a building in downtown Toronto; due to low water pressure, poor fire-fighting equipment and heavy winds, the fire spread quickly; 98 buildings burned; no fatalities."
0,0,0,,,,,,7,16,4,1904,t,Spring,7,16,4,1904,t,Spring,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Red River,MB,Canada,t,"Red River MB, April 24, 1904. Severe flooding in the Winnipeg area of the Red River."
0,0,0,,,,,,3,7,2,1905,f,Winter,5,7,2,1905,f,Winter,Winter Storm,Meteorological - Hydrological,Natural,Disaster,0,0,,,Canada,t,"Nova Scotia, February 15-17, 1905. Most severe storm of the Year of the Big Snow."
15,0,0,,,,,,7,32,8,1905,t,Summer,7,32,8,1905,t,Summer,Landslide,Geological,Natural,Disaster,0,0,Spences Bridge,BC,Canada,t,"Spences Bridge BC, August 13, 1905. A large gravel bank broke away from a mountain side and came crashing down on a First Nation reserve destroying homes and the local church; 15 dead; the landslide into the Thompson River caused a wave which swept victims away."
126,0,0,,,,,,1,1,1,1906,f,Winter,1,1,1,1906,f,Winter,Marine,Transportation accident,Technology,Incident,0,0,,,Canada,t,"British Columbia, 1906. 126 dead: wreck of Valencia off Vancouver Island."
75,0,0,,,,,,4,35,8,1907,f,Summer,4,35,8,1907,f,Summer,Transportation,Infrastructure failure,Technology,Incident,0,0,Quebec City,QC,Canada,t,"Quebec City QC, August 29, 1907. Nearing the completion of construction of the Quebec Bridge, the southern span of the bridge over the Saint Lawrence River collapsed, killing 75 workmen."
33,0,0,,,,,,7,17,4,1908,t,Spring,7,17,4,1908,t,Spring,Landslide,Geological,Natural,Disaster,0,0,Notre-Dame-de-la-Salette,QC,Canada,t,"Notre-Dame-de-la-Salette QC, April 26, 1908. 33 dead, many injured; a tract of land 2.4 km wide and extending 450 metres back slid into the Lièvre River, carrying with it two houses, and crashed into a row of buildings on the opposite side."
100,0,6000,,,,,,6,31,8,1908,t,Summer,1,32,8,1908,f,Summer,Residential,Fire,Technology,Incident,0,0,Fernie,BC,Canada,t,"Fernie BC, August 1-3 1908. 100 dead; 6000 homeless."
1,0,0,,,,,,1,1,1,1909,f,Winter,1,1,1,1909,f,Winter,Flood,Meteorological - Hydrological,Natural,Disaster,0,0,Chester,NB,Canada,t,"Chester NB, January 4, 1909. Mild weather caused ice to travel and possibly jam, creating floods which caused expensive damage to highway bridges and roads; a 9-year old child fell from a small bridge and drowned in a flood swollen stream near Chester."
