estimated_total_cost,normalized_total_cost,federal_payments,provincial_payments,insurance_payments,costs_key
,,,,,0
22522000,1608714.3,,14434443,8087557,1
74559612,5106822.7,,18858612,55701000,2
0,0,,,,3
2893389,264639.2,908395,1984994,,4
,,0,0,,5
45473000,4159115.9,0,0,45473000,6
17889807,1636262.8,9484477,8405330,,7
24891000,2180233.6,0,0,24891000,8
64216681,5624818.8,6473041,13065640,44678000,9
181125959,15865047.5,19948463,12800496,148377000,10
2323137,195770,619569,1703568,,11
35296621,2974434.4,7787911,6008710,21500000,12
39827872,3356281.3,156086,2544786,37127000,13
37970666,3199775.2,20891999,17078667,,14
26931008,2269467,11897256,15033752,,15
0,0,0,0,,16
1094778,87816.4,852700,242078,,17
18489862,1483144,14174906,4314956,,18
3146918,252426.6,54716,3092202,,19
2327777,178146.2,1029958,1297819,,20
581891545,44532516.2,,204155713,,21
19295404,1476689.1,,3016404,16279000,22
7925848,606570,,7591444,,23
7731772,398202.8,6021772,1710000,,24
536488,43033.8,,536488,,25
,,,0,,26
28310657,2051496.9,,0,28310657,27
22147336,1694949.2,8229503,13917833,,28
1666667,127551,,1666667,,29
4427167,338813.8,,,,30
792167,60625,,511000,,31
18208847,1393534.2,4355578,13853269,,32
29426861,2252055.7,7343629,22083232,,33
397070,30388,,,,34
1031670000,53133218.9,75320000,206350000,,35
146557019,10620073.8,,115360,,36
304756,22083.8,,304756,,37
3682004,266811.9,,3682004,,38
546692,39615.4,518222,28470,,39
40387745,2926648.2,,9280084,31107661,40
7021214,508783.6,,,,41
52603727,3811864.3,,2206439,20645522,42
17300120,1253631.9,1002312,16297808,,43
884595372,64101113.9,,9289467,378440384,44
4396737,318604.1,0,0,4396737,45
5982309,433500.7,0,0,5982309,46
580597523,41471251.6,,135289,,47
219277,15662.6,,219277,,48
20170168,1440726.3,,14434443,5735725,49
4738539,338467.1,0,0,4738539,50
2866371,204740.8,,2866371,,51
1012311,72307.9,,1012311,,52
2000000,142857.1,,2000000,,53
5337940,381281.4,0,0,5337940,54
38495497,2749678.4,,14434443,24061054,55
228636,16331.1,147321,81315,,56
8945037,638931.2,,,8945037,57
19866000,1392476.6,,,19866000,58
14973222,1049524.9,6500013,6157824,,59
6503703,455867,,613703,5890000,60
10017238,702142.9,,1675238,8342000,61
21095828,1478679.5,,12398407,8697421,62
5738341,402220.2,2935683,2802658,,63
214807255,15056583.3,11555527,3763948,199487780,64
45995,3220.2,,45995,,65
14299000,1001096.8,0,0,14299000,66
6799000,476009.3,0,0,6799000,67
57025698,3992464.3,1944488,33585148,,68
9074000,635285.9,0,0,9074000,69
9589470,671374.8,,69470,9520000,70
30969155,2168202.2,,21910155,9059000,71
57478,3936.8,,57478,,72
34511612,2363809,,18858612,15653000,73
3189873,223328.3,,,,74
7786393,545138.4,,246393,7540000,75
11155000,780980.2,0,0,11155000,76
14196201,993899.7,,5346201,8850000,77
7876000,551411.9,0,0,7876000,78
35830,2454.1,,35830,,79
368160,25216.4,,368160,,80
91585747,6272996.4,,91585747,,81
4205645,288057.9,1816719,2388926,,82
7155707,490116.9,1685853,5469854,,83
3432310,235089.7,504871,2927439,,84
28103000,1924863,0,0,28103000,85
56910000,3897945.2,0,0,56910000,86
9018000,617671.2,0,0,9018000,87
2661890,182321.2,1274866,1387024,,88
13353120,914597.3,0,235120,13118000,89
17419000,1193082.2,0,0,17419000,90
18835222,1290083.7,1915497,16919725,,91
100307,6769.9,,100307,,92
57644492,3890516.9,,100110,,93
99870,6740.4,,22413,,94
9404772,634742.8,,621641,8343840,95
378557,25549.4,,131518,,96
278061,18766.8,,194537,,97
105000000,7086614.2,0,0,105000000,98
6816377,460047.9,4430930,2385447,,99
18159797,1225633.1,5693853,12465944,,100
103000000,6951631,,,103000000,101
87877643,5930999.5,0,0,87877643,102
21308000,1438110.2,0,0,21308000,103
215339641,14533609.1,1583282,9261977,,104
25881403,1717792.2,21771004,4110399,,105
4585262,304331.5,653232,3932030,,106
1319475,87575.8,,1319475,,107
47368494,3143926.6,18664180,28704314,,108
498513577,33087184.3,193808836,23624696,232600000,109
40114688,2662479.3,15472238,10407813,,110
664352,44094.2,,664352,,111
974055,64012.4,,974055,,112
4635720433,304647564.1,665387416,60222575,1712248000,113
5109358,335773.8,0,5109358,,114
5636784,370434.9,3550846,2085938,,115
6400400,413373.5,6400000,,,116
1499116,78831.7,1499116,,,117
27741685,1823111.8,7246824,20494861,,118
65258000,4288587.1,,,65258000,119
12044118,791508.3,,12044118,,120
2795,183.7,,,,121
3036145,199527.6,,,,122
14025688,921732,,,14025688,123
122000000,7879440.3,,,50000000,124
22426695,1448441,12206998,10219697,,125
109195449,7052451,7292493,100902956,,126
1717172,110904.5,345839,1371333,,127
922323,59568.8,317481,104842,,128
8751452,565217.6,2977089,5774363,,129
43595000,2815608.2,,,43595000,130
1441367,93091.5,1022030,419337,,131
1726766,111524.2,485625,1241141,,132
4912305,317264,1834365,3077940,,133
6621462,416444.2,3059340,3075338,,134
3385331,212913.9,190216,3195115,,135
3787294,238194.6,1580762,2206532,,136
2917561,183494.4,885581,2031980,,137
5627843,353952.4,449218,3328625,,138
16710626,1025191.8,7045162,3876935,,139
20942391,1284809.3,10691352,10251039,,140
869596,53349.4,,869596,,141
9323887,572017.6,2622744,6701143,,142
11743003,720429.6,4353450,1668893,5720660,143
1300000,78000,,1300000,,144
32332,1939.9,,19779,,145
6975854,418551.2,,6975854,,146
16054182,963250.9,8834091,7220091,,147
10376248,622574.9,3552493,5048976,,148
31014,1860.8,,31014,,149
464286,27857.2,,464286,,150
4681553,273242.4,4681553,,,151
25485948,1487506.7,21065353,4420595,,152
1869114,109092.3,1869114,,,153
6934707,404749.4,6934707,,,154
5286253,308536.2,5286253,,,155
159052448,9283216.8,159052448,,,156
121846,7111.6,39640,82206,,157
25529656,1490057.7,25529656,,,158
8958966,522896.8,8958966,,,159
3687690,211328.9,3687690,,,160
2302473,131946.9,565937,1736536,,161
5700000,326647.6,5700000,,,162
12678824,726580.2,12678824,,,163
2578039,147738.6,2578039,,,164
4337646,243232.5,4337646,,,165
388288,21773.2,388288,,,166
2278201,127749.6,768644,1509557,,167
647617,36315,647617,,,168
1447904,81190.9,510004,937900,,169
37032721,2076601.2,37032721,,,170
3455208,193750,3455208,,,171
9567567,536499.1,9567567,,,172
18461755,1035238.6,18461755,,,173
7283952,400584,7283952,,,174
3140829,172731.2,3140829,,,175
125800000,6769506.7,125800000,,,176
9600000,516591.9,9600000,,,177
14149725,761420.2,14149725,,,178
7500000,403587.4,1600000,5900000,,179
21000000,1104294.5,21000000,,,180
223990,12053.3,223990,,,181
675103,35500.6,675103,,,182
3227650,484147.5,1545488,1682162,,183
7572381,518656.2,4784560,2787821,,184
2381905,139021.7,1869114,512791,,185
3235813,177954.9,3235813,,,186
2805156.51,150950.1,812603,1925958.41,,187
19073933,1026400,19073933,,,188
1183183,63669,1183183,,,189
4507509,237029.4,4507509,,,190
1572759,82704.2,1572759,,,191
460000,24189.3,460000,,,192
851326,44767.4,851326,,,193
644956,33915.3,644956,,,194
314496,16537.9,314496,,,195
3591884,188385.5,3591884,,,196
216978,13646.4,216978,,,197
16396213,882307.4,7496213,8900000,,198
459130,24080.2,59130,400000,,199
98743529,5178856.4,81743529,17000000,,200
2000000,104895.1,626000,1374000,,201
6000000,314685.3,,,6000000,202
50000000,2622377.6,,,50000000,203
9572104,492983.9,9572104,,,204
3135000,161459.2,3135000,,,205
4500000,236014,400000,4100000,,206
4118000,212085.8,4118000,,,207
7535000,396231.4,1235000,6300000,,208
627673,32326.5,,337716,144003,209
13239000,681836.9,12881000,,,210
5000000,257510.7,5000000,,,211
17000000,875536.5,,1000000,16000000,212
100000,5150.2,,100000,,213
112000,5768.2,112000,,,214
85507690,4403829.5,85507690,,,215
257339000,13253510.7,37339000,220000000,,216
750000000,38626609.4,,,,217
8277755,1357009,3037970,5239785,,218
13191884,691882,3591884,9600000,,219
20087353,3293008.7,7372141,12715212,,220
12843964,1174752.8,6809368,6034596,,221
10000000,515021.5,,10000000,,222
7872284,689543.1,5660456,2211828,,223
13807000,1107513.4,0,0,13807000,224
154623306,10590637.4,34061897,21997624,21893670,225
300000000,20247469.1,300000000,,,226
93089380,6282747.8,3435141,10709159,78945080,227
26217000,1350231.8,26217000,,,228
129049397,7236414.8,129049397,,,229
2597891,145676.1,497891,2100000,,230
76506000,4012552.4,70006000,6500000,,231
24402775,10384159.6,,23207778,,232
3737000,1104532,1550023,2186977,,233
75000,22167.5,75000,,,234
1250000,358851.7,1250000,0,,235
2426000,696459.3,833229,1592771,,236
5300000,1452054.8,1662223,3637777,,237
7311000,1858728.8,4225495,3085505,,238
5330000,1355084.7,2314500,3015500,,239
5151752,1179790.5,3540871,1610881,,240
6611800,1514152.7,4151261,2460539,,241
21765136,4984382.3,8670477,13094659,,242
8532000,1953893.1,4246073,4285927,,243
14523061,3325891.8,11464005,3059056,,244
800539,183329.5,73470,727069,,245
143000,32748.1,13473,129527,,246
1893852,391831.4,493226,1400626,,247
2828222,585149.4,640274,2187948,,248
8005500,1544469.5,3065714,4939786,,249
4137800,798289.4,2067621,2070179,,250
1947804,375782.1,530877,1416927,,251
20500000,3954983.9,7582330,12917670,,252
975000,188102.9,155109,819891,,253
4545103,876868.7,2134809,2410294,,254
5235779,858324.4,3588601,1647178,,255
1597600,261901.6,87859,1509741,,256
1854000,278100,1682054,171946,,257
18557303,2783595.5,14670604,3886699,,258
2642670,396400.5,26635,2616035,,259
,,0,,,260
10143000,1383136.4,4328769,5814231,,261
22248,2696.7,0,22248,,262
1854,224.7,0,0,,263
1668590,202253.3,0,0,,264
572824,62603.7,413342,159482,,265
3130147,379411.8,217888,2912259,,266
141412,15454.9,46278,95134,,267
1585054,173229.9,1340291,244763,,268
0,0,0,,,269
111591,11524,0,111591,,270
4444275,458961.3,1384672,3059603,,271
6367841,657608.4,3879494,2484696,,272
20614195,2128832.5,1121298,3107897,16385000,273
22060000,2278141.1,0,0,22060000,274
53831341,5559174.6,27739771,26091570,,275
4029790,398989.1,605407,3424383,,276
2686465,265986.6,816031,1870434,,277
1656780,164037.6,301190,1355590,,278
3272619,324021.7,1786357,1486262,,279
39066000,3867920.8,0,0,39066000,280
3999112,395951.7,637747,3361365,,281
16390000,1560952.4,0,0,16390000,282
83992000,7999238.1,0,0,83992000,283
699884000,35023386.2,699884000,,,284
552960000,27671059.2,52960000,,500000000,285
81612000,4084003.3,81612000,,,286
153856000,7699216,16056000,,137800000,287
19778000,975086.3,19778000,,,288
500000000,28037383.2,,,500000000,289
3829000,188775.7,3829000,,,290
940000000,45928338.8,,,940000000,291
1503748,74137.1,1503748,,,292
2715742000,132690977.2,1015742000,,1700000000,293
400000000,20600858.4,,,400000000,294
6700000,330320.5,,,,295
300000000,14376996.8,,300000000,,296
55000000,2635782.7,,55000000,,297
10796000,527491.9,10796000,,,298
29603000,1418674.1,13603000,16000000,,299
24712000,1184281.2,12212000,12500000,,300
13064000,626070.3,13064000,,,301
19387000,929089.5,19387000,,,302
92191000,4369241.7,92191000,,,303
5000000,236966.8,,,,304
20401000,966872,20401000,,,305
16700000,780373.8,16700000,,,306
30350000,1418224.3,30350000,,,307
65132000,3043551.4,65132000,,,308
4068678000,190125140.2,468678000,,3600000000,309
