day,week,month,year,weekend,season_canada,season_international,date_key
4,17,4,1900,f,Spring,Spring,0
2,1,1,1901,f,Winter,Winter,1
3,1,1,1902,f,Winter,Winter,2
6,9,3,1902,t,Spring,Spring,3
4,21,5,1902,f,Spring,Spring,4
4,1,1,1903,f,Winter,Winter,5
3,18,4,1903,f,Spring,Spring,6
5,53,1,1904,f,Winter,Winter,7
2,36,9,1992,f,Autumn,Autumn,8
1,29,7,1995,f,Summer,Summer,9
6,9,2,1903,t,Winter,Winter,10
2,16,4,1904,f,Spring,Spring,11
7,16,4,1904,t,Spring,Spring,12
3,7,2,1905,f,Winter,Winter,13
7,32,8,1905,t,Summer,Summer,14
1,1,1,1906,f,Winter,Winter,15
4,35,8,1907,f,Summer,Summer,16
7,17,4,1908,t,Spring,Spring,17
6,31,8,1908,t,Summer,Summer,18
1,1,1,1909,f,Winter,Winter,19
7,47,11,1909,t,Autumn,Autumn,20
6,52,1,1910,t,Winter,Winter,21
5,3,1,1910,f,Winter,Winter,22
6,9,3,1910,t,Spring,Spring,23
5,15,4,1910,f,Spring,Spring,24
1,16,4,1910,f,Spring,Spring,25
2,28,7,1911,f,Summer,Summer,26
7,26,6,1912,t,Winter,Winter,27
1,28,7,1912,f,Summer,Summer,28
5,45,11,1913,f,Autumn,Autumn,29
4,1,1,1914,f,Winter,Winter,30
3,14,4,1914,f,Spring,Spring,31
4,22,5,1914,f,Spring,Spring,32
5,25,6,1914,f,Winter,Winter,33
5,53,1,1915,f,Winter,Winter,34
1,5,2,1915,f,Winter,Winter,35
1,12,3,1915,f,Spring,Spring,36
4,27,7,1915,f,Summer,Summer,37
4,5,2,1916,f,Winter,Winter,38
1,17,4,1916,f,Spring,Spring,39
6,30,7,1916,t,Summer,Summer,40
1,37,9,1916,f,Autumn,Autumn,41
1,1,1,1917,f,Winter,Winter,42
3,30,7,1917,f,Summer,Summer,43
7,43,10,1917,t,Autumn,Autumn,44
4,49,12,1917,f,Winter,Winter,45
2,1,1,1918,f,Winter,Winter,46
3,4,1,1918,f,Winter,Winter,47
6,41,10,1918,t,Autumn,Autumn,48
3,43,10,1918,f,Autumn,Autumn,49
3,1,1,1919,f,Winter,Winter,50
4,1,1,1920,f,Winter,Winter,51
3,12,3,1920,f,Spring,Spring,52
4,30,7,1920,f,Summer,Summer,53
2,14,4,1986,f,Spring,Spring,54
4,22,5,1986,f,Spring,Spring,55
5,22,5,1986,f,Spring,Spring,56
1,23,6,1986,f,Winter,Winter,57
3,20,5,1986,f,Spring,Spring,58
4,20,5,1986,f,Spring,Spring,59
6,14,4,1987,t,Spring,Spring,60
3,29,7,1986,f,Summer,Summer,61
7,43,10,1986,t,Autumn,Autumn,62
5,45,11,1986,f,Autumn,Autumn,63
5,22,5,1987,f,Spring,Spring,64
1,28,7,1987,f,Summer,Summer,65
2,29,7,1987,f,Summer,Summer,66
4,40,10,1987,f,Autumn,Autumn,67
5,53,1,1988,f,Winter,Winter,68
5,31,7,1987,f,Summer,Summer,69
1,10,3,1988,f,Spring,Spring,70
5,13,4,1988,f,Spring,Spring,71
7,18,5,1988,t,Spring,Spring,72
2,19,5,1988,f,Spring,Spring,73
2,21,5,1988,f,Spring,Spring,74
6,22,6,1988,t,Winter,Winter,75
1,25,6,1988,f,Winter,Winter,76
2,26,6,1988,f,Winter,Winter,77
3,26,6,1988,f,Winter,Winter,78
2,27,7,1988,f,Summer,Summer,79
6,50,12,1988,t,Winter,Winter,80
2,33,8,1988,f,Summer,Summer,81
5,47,11,1988,f,Autumn,Autumn,82
2,34,8,1988,f,Summer,Summer,83
7,52,1,1989,t,Winter,Winter,84
1,5,1,1989,f,Winter,Winter,85
5,10,3,1989,f,Spring,Spring,86
6,26,7,1989,t,Summer,Summer,87
1,18,5,1989,f,Spring,Spring,88
4,19,5,1989,f,Spring,Spring,89
6,29,7,1989,t,Summer,Summer,90
7,36,9,1989,t,Autumn,Autumn,91
2,37,9,1989,f,Autumn,Autumn,92
5,39,9,1989,f,Autumn,Autumn,93
1,40,10,1989,f,Autumn,Autumn,94
3,45,11,1989,f,Autumn,Autumn,95
4,49,12,1989,f,Winter,Winter,96
2,50,12,1989,f,Winter,Winter,97
1,52,12,1989,f,Winter,Winter,98
7,49,12,1990,t,Winter,Winter,99
1,1,1,1990,f,Winter,Winter,100
1,28,7,1990,f,Summer,Summer,101
5,29,7,1990,f,Summer,Summer,102
1,30,7,1990,f,Summer,Summer,103
5,21,5,2010,f,Spring,Spring,104
