city,province,country,canada,location_key
Ottawa,ON,Canada,t,0
Gr Forks,BC,Canada,t,1
Wellgton,BC,Canada,t,2
Cranberry,BC,Canada,t,3
Sat John River Bas,NB,Canada,t,4
Fernie,BC,Canada,t,5
Frank,AB,Canada,t,6
Carbonado,BC,Canada,t,7
Edmonton,AB,Canada,t,8
Calgary,AB,Canada,t,9
Upper Arrow Lake,BC,Canada,t,10
Toronto,ON,Canada,t,11
Red River,MB,Canada,t,12
"","",Canada,t,13
Spences Bridge,BC,Canada,t,14
Quebec City,QC,Canada,t,15
Notre-Dame-de-la-Salette,QC,Canada,t,16
Chester,NB,Canada,t,17
Burnaby,BC,Canada,t,18
Spanish River,ON,Canada,t,19
Rogers Pass,BC,Canada,t,20
St-Alphonse-de-Bagotville,QC,Canada,t,21
Coucoucache,QC,Canada,t,22
Cochrane,ON,Canada,t,23
Rega,SK,Canada,t,24
Lakes Huron,ON,Canada,t,25
St. Lawrence River,QC,Canada,t,26
Hillcrest,AB,Canada,t,27
North Saskatchewan River,SK,Canada,t,28
Nanaimo,BC,Canada,t,29
Cooper Me,BC,Canada,t,30
Wnipeg,MB,Canada,t,31
New Waterford,NS,Canada,t,32
Halifax,NS,Canada,t,33
Pictou County,NS,Canada,t,34
Trenton,ON,Canada,t,35
Southwestern,ON,Canada,t,36
Southeastern,SK,Canada,t,37
Icelic River,MB,Canada,t,38
Sat John River,NB,Canada,t,39
Montreal,QC,Canada,t,40
Canng,NS,Canada,t,41
Waswanipi reserve,QC,Canada,t,42
Southern,AB,Canada,t,43
Gr Falls,NL,Canada,t,44
Upper Gagetown,NB,Canada,t,45
Lake St. Clair,ON,Canada,t,46
"",SK,Canada,t,47
Emerson,MB,Canada,t,48
Goulais River,ON,Canada,t,49
Whitedog Lake,ON,Canada,t,50
Come by Chance,NL,Canada,t,51
Duck Mounta,MB,Canada,t,52
Sat-Romuald,QC,Canada,t,53
Lton,QC,Canada,t,54
Sarnia,ON,Canada,t,55
Lethbridge,AB,Canada,t,56
Louiseville,QC,Canada,t,57
Central,AB,Canada,t,58
Norman Wells,Northwest Territories,Canada,t,59
"",ON,Canada,t,60
Courtl,ON,Canada,t,61
Lesser Slave Lake region,AB,Canada,t,62
Saguenay region,QC,Canada,t,63
Sat-Basile-le-Gr,QC,Canada,t,64
Dundas,ON,Canada,t,65
Albany,ON,Canada,t,66
Niagara Falls,ON,Canada,t,67
to Ontario,YT,Canada,t,68
Dryden,ON,Canada,t,69
Montmartre,SK,Canada,t,70
Liard River,Northwest Territories,Canada,t,71
Northern,MB,Canada,t,72
Radisson,QC,Canada,t,73
Sat-Jacques,QC,Canada,t,74
Sudbury,ON,Canada,t,75
Gulf of St. Lawrence,QC,Canada,t,76
Sat-Léonard d'Aston,QC,Canada,t,77
Ungava Pensula,QC,Canada,t,78
Old Crow,YT,Canada,t,79
Harrow,ON,Canada,t,80
British Columbia to,ON,Canada,t,81
Banff,AB,Canada,t,82
Hagersville,ON,Canada,t,83
Vancouver Harbour,BC,Canada,t,84
La Baie,QC,Canada,t,85
Sate-Anne des Plaes,QC,Canada,t,86
St.-Amable,QC,Canada,t,87
Western,AB,Canada,t,88
Woodstock,NB,Canada,t,89
Southern,ON,Canada,t,90
Oka,QC,Canada,t,91
Madelee Isls,QC,Canada,t,92
Bugaboo Glacier Provcial Park,BC,Canada,t,93
Notre-Dame de Pierreville,QC,Canada,t,94
Chaudière River,QC,Canada,t,95
Niverville,MB,Canada,t,96
Betsiamites,QC,Canada,t,97
Red Deer,AB,Canada,t,98
St. Lazare,MB,Canada,t,99
Off Cape Beale,BC,Canada,t,100
Ksella,AB,Canada,t,101
Maskongé,QC,Canada,t,102
Jarvis,ON,Canada,t,103
Near the North Pole,NU,Canada,t,104
Canso,NS,Canada,t,105
Vernon,BC,Canada,t,106
Gr Coulee,SK,Canada,t,107
Central,ON,Canada,t,108
Haes,AB,Canada,t,109
Corunna,ON,Canada,t,110
Montréal,QC,Canada,t,111
Elmira,ON,Canada,t,112
Port au Choix,NL,Canada,t,113
Peace River,AB,Canada,t,114
Sate-Brigitte-de-Laval,QC,Canada,t,115
Port-aux-Basques,NL,Canada,t,116
Hay River,Northwest Territories,Canada,t,117
Plymouth,NS,Canada,t,118
Attawapiskat,ON,Canada,t,119
Longlac,ON,Canada,t,120
Prairies Provces,ON,Canada,t,121
Oakville,MB,Canada,t,122
Rivers YT,YT,Canada,t,123
Yellowknife,Northwest Territories,Canada,t,124
Avalon,NL,Canada,t,125
St. John's,NL,Canada,t,126
Upper Sat John River Valley,NB,Canada,t,127
Shubenacadie,NS,Canada,t,128
"",QC,Canada,t,129
Swan River,MB,Canada,t,130
Truro,NS,Canada,t,131
Wdsor,ON,Canada,t,132
Kirkl Lake,ON,Canada,t,133
to Maritimes,AB,Canada,t,134
Plaster Rock,NB,Canada,t,135
Southern,MB,Canada,t,136
Sydney,NS,Canada,t,137
Southwestern,MB,Canada,t,138
Aylmer,QC,Canada,t,139
Salmon Arm,BC,Canada,t,140
Poplar Bay,AB,Canada,t,141
Hervey Junction,QC,Canada,t,142
Blanc Sablon,QC,Canada,t,143
North Central,SK,Canada,t,144
Western,MB,Canada,t,145
Bur Pensula,NL,Canada,t,146
Hamilton,ON,Canada,t,147
Sunny Valley,AB,Canada,t,148
Gre Prairie,AB,Canada,t,149
South Dumfries,ON,Canada,t,150
Flat Bay,NL,Canada,t,151
Grey County,ON,Canada,t,152
Timms,ON,Canada,t,153
Atikokan,ON,Canada,t,154
Lesser Slave Lake area,AB,Canada,t,155
Nechako River,BC,Canada,t,156
Southwest,AB,Canada,t,157
Bay of Fundy,NB,Canada,t,158
Durham,ON,Canada,t,159
South-Central,SK,Canada,t,160
Assiboe,MB,Canada,t,161
Northwest of Matagami,QC,Canada,t,162
Northwest,ON,Canada,t,163
Iroquois Falls,ON,Canada,t,164
Hummgbird Creek,BC,Canada,t,165
Les Éboulements,QC,Canada,t,166
Wood Buffalo National Park,AB,Canada,t,167
Ontario,QC,Canada,t,168
Kangiqsualujjuaq,QC,Canada,t,169
Eastern,ON,Canada,t,170
Swan Hills,AB,Canada,t,171
Northern,ON,Canada,t,172
Portage la Prairie,MB,Canada,t,173
Tibbet Lake,Northwest Territories,Canada,t,174
Greater Vancouver Area,BC,Canada,t,175
Peggy's Cove,NS,Canada,t,176
Barrie,ON,Canada,t,177
Southern,BC,Canada,t,178
Taylor,BC,Canada,t,179
Terrace,BC,Canada,t,180
East of Lake Wnipeg,MB,Canada,t,181
Melita,MB,Canada,t,182
Thamesville,ON,Canada,t,183
La Ronge,SK,Canada,t,184
Beardmore,ON,Canada,t,185
Burwash Lg,YT,Canada,t,186
Kenora,ON,Canada,t,187
Badger,NL,Canada,t,188
Clearwater,AB,Canada,t,189
Drummondville,QC,Canada,t,190
Balmoral,NB,Canada,t,191
Vancouver,BC,Canada,t,192
Little First Nation Reserve MB,SK,Canada,t,193
Glacier National Park,BC,Canada,t,194
St-Hilaire,QC,Canada,t,195
Passmore,BC,Canada,t,196
Pe Lake,AB,Canada,t,197
Chetwynd,BC,Canada,t,198
Walkerton,ON,Canada,t,199
Vanguard,SK,Canada,t,200
Peace River area,BC,Canada,t,201
Morley,ON,Canada,t,202
Brookdale,MB,Canada,t,203
Notre-Dame-du-Lac,QC,Canada,t,204
Northern,AB,Canada,t,205
Montreal Lake,SK,Canada,t,206
Attawapiskat First Nation,ON,Canada,t,207
Municipalities of Ignace,ON,Canada,t,208
Southeast,MB,Canada,t,209
Kgsville,ON,Canada,t,210
Peerless Lake,AB,Canada,t,211
Turnor Lake,SK,Canada,t,212
Hawes/Patuanak,SK,Canada,t,213
Crutwell,SK,Canada,t,214
Nemiscau region,QC,Canada,t,215
Near community of Sheshatshui,NL,Canada,t,216
Kee-Way-W FN; Townships of Terrace Bay,ON,Canada,t,217
Brantford,ON,Canada,t,218
Tyendaga Township First Nation,ON,Canada,t,219
Oxford,NS,Canada,t,220
"",MB,Canada,t,221
Eastern Passage,NS,Canada,t,222
Southeastern British Columbia,AB,Canada,t,223
The Bois-Francs,QC,Canada,t,224
South Central,MB,Canada,t,225
The Pas,MB,Canada,t,226
